Object_ID,De-la-Faille_cat-no,type-of-activity,type-of-activity_URI,activity-start-date,activity-end-date,transferred-to,transferred-to_URI,activity-note
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1890,1890,Julien Tanguy Gallery,http://vocab.getty.edu/ulan/500326764,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1890,1891,Willy Gretor,,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1891,1919,Otto Ackermann,,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1919,1934,Gaston Bernheim de Villers,http://vocab.getty.edu/ulan/500337059,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1934,1955,Captain Edward H. Molyneux,http://vocab.getty.edu/ulan/500059936,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1955,1970,Mrs. Ailsa Mellon Bruce,http://vocab.getty.edu/ulan/500356370,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,1970,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,,,Anna Cornelia van Gogh-Carbentus,http://vocab.getty.edu/ulan/500089487,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1886,1886,Adrianus Schrauwen,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,,,J.M. Couvreur,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,,,J.C. Couvreur,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1902,1902,Willem van Bakel,http://vocab.getty.edu/ulan/500728227,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1902,1902,Kees Mouwen,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1904,1905,Kunsthandel Oldenzeel,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1905,1919,Jan Smit,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1919,1919,A. Mak,http://vocab.getty.edu/ulan/500452041,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1919,1954,John Enthoven,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1954,1954,Perls Galleries,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1954,1954,Willem Brinkman,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1954,1955,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1955,1983,Paul Mellon,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,1983,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1890,1891,Theo van Gogh,,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1891,1891,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1891,1917,Paul Gallimard,,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1917,1926,Bernheim-Jeune,http://vocab.getty.edu/ulan/500434185,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1926,1930,"Alex Reid & Lefèvre, Ltd",http://vocab.getty.edu/ulan/500434176,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1930,1930,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1930,1972,The Honorable W. Averell Harriman,http://vocab.getty.edu/ulan/500444099,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1972,1991,Mrs. W. Averell Harriman,,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,1991,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,,,Joseph Jacob Isaacson,http://vocab.getty.edu/ulan/500100188,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,,,H.P. Bremmer,http://vocab.getty.edu/ulan/500032043,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,1904,1944,Hugo Tutein Nolthenius,,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,,,Firma D. Katz,http://vocab.getty.edu/ulan/500439912,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,1947,1947,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,1947,1982,John Hay Whitney,http://vocab.getty.edu/ulan/500117452,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,1947,1998,Mrs. John Hay Whitney,,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,1998,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1889,1891,Theo van Gogh,,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1891,1906,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1906,1906,Galerie Paul Cassirer,http://vocab.getty.edu/ulan/500452080,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1906,1929,Curt Herrmann,http://vocab.getty.edu/ulan/500007906,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,,,Frederick Henry Herrmann,,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1955,1955,Carstairs Gallery,http://vocab.getty.edu/ulan/500435472,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1955,1999,Paul Mellon,,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,1999,2013,Estate of Rachel Lambert Mellon,http://vocab.getty.edu/ulan/500445182,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,2013,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1889,1891,Theo van Gogh,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1891,,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,Vincent Willem van Gogh,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,Emile Bernard,http://vocab.getty.edu/ulan/500012925,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,Ambroise Vollard,http://vocab.getty.edu/ulan/500327786,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1907,1911,Cornelis Hoogendijk,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1911,1942,Maria Ida Adriana van Blaaderen-Hoogendijk,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1942,1950,Tom van Blaaderen,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1950,,Hermanna F. van Blaaderen-van Geuns,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,Private Collection (NGA Former Owner),,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,Marlborough Fine Art,http://vocab.getty.edu/ulan/500434822,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,1956,Sir Alexander Korda,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1956,1962,Mrs. David Metcalfe,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1962,1962,Sotheby's,http://vocab.getty.edu/ulan/500304344,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,1962,,Charles Willis,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,1999,Paul Mellon,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,2014,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
